file,trajectory_format,system_messages,user_messages,assistant_messages,tool_messages,other_messages,total_messages,exit_status,api_calls,instance_cost,failed_tool_observations
data\claude_4_5_opus_high_reasoning\trajectories\a26344fb-a4f7-4554-a150-666f3e4971e8.json,docent-transcript-export,1,1,24,32,0,58,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a28d12fd-2cd2-419a-93e8-3ac6ec49f8b7.json,docent-transcript-export,1,1,16,16,0,34,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a2a1fe67-2325-4bd6-939a-f50c0a468b5a.json,docent-transcript-export,1,1,29,30,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a2d394e6-ebb5-4f9d-bf32-60002cd0101f.json,docent-transcript-export,1,1,10,10,0,22,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a477dfc8-33ba-4afd-8248-e122a273ccde.json,docent-transcript-export,1,1,23,26,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a4d7d9a3-b178-47fe-9cf1-52565c5d0e76.json,docent-transcript-export,1,1,64,93,0,159,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a5a15f25-5df3-4b42-937d-18d10e51211e.json,docent-transcript-export,1,1,38,44,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a61fd11b-4128-411e-aaeb-b90e6e98ba83.json,docent-transcript-export,1,1,44,54,0,100,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a69e0c51-e3f6-4269-8122-31b4e3c0d85e.json,docent-transcript-export,1,1,33,40,0,75,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a6ded243-a8ac-4979-a040-792449f3a876.json,docent-transcript-export,1,1,15,20,0,37,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a774aa96-66bf-49c3-a79c-22b788de4fbe.json,docent-transcript-export,1,1,75,76,0,153,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a77e0633-dc96-461d-8fb7-ab34136c6d4e.json,docent-transcript-export,1,1,72,76,0,150,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a7efcb1d-20d8-4913-bfa2-2928060ffeb5.json,docent-transcript-export,1,1,30,32,0,64,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\a8361ac5-c06a-4f82-828d-79a91f18b659.json,docent-transcript-export,1,1,43,47,0,92,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\aa1118cc-61e2-40e7-9362-b350c886d3c9.json,docent-transcript-export,1,1,34,36,0,72,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\abdc0c69-a7b5-4b4a-9734-3d6f2c80e862.json,docent-transcript-export,1,1,35,54,0,91,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\abff2d73-4a6f-4056-a2b4-6622654198e4.json,docent-transcript-export,1,1,14,16,0,32,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ac1970f7-09b8-45bb-baf7-7332027009b2.json,docent-transcript-export,1,1,23,25,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\adb78807-1802-44a2-9e45-b1f23a672aee.json,docent-transcript-export,1,1,24,25,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\af479bc3-a87d-4085-a13f-68b0a6f90bd8.json,docent-transcript-export,1,1,23,29,0,54,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\af666efa-70ad-4d98-9ab0-5b9657663456.json,docent-transcript-export,1,1,26,29,0,57,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b1443f16-2998-473a-a51d-33db355a8268.json,docent-transcript-export,1,1,23,25,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b193d414-8cb0-42fe-882e-5a8f6646d285.json,docent-transcript-export,1,1,38,44,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b1fe3060-ea25-4de4-b4b0-c7ea2b14e2e7.json,docent-transcript-export,1,1,24,25,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b24646f5-2b10-4039-a624-a02a16ab79f0.json,docent-transcript-export,1,1,30,36,0,68,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b25e9588-f48b-4de0-a84e-675de2ad5805.json,docent-transcript-export,1,1,32,36,0,70,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b29c9e9f-cec0-4086-a912-152e7aa88911.json,docent-transcript-export,1,1,28,34,0,64,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b3528406-7f65-49bb-bc90-469c963c6baf.json,docent-transcript-export,1,1,21,21,0,44,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b387eeb7-a700-4aef-96f3-e328fb0b92c0.json,docent-transcript-export,1,1,25,27,0,54,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b4821238-b303-41bc-badd-a03c33690fcd.json,docent-transcript-export,1,1,39,40,0,81,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b4a9d5a1-44b5-4596-a629-7c6bdad2afd6.json,docent-transcript-export,1,1,22,27,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b4afdff4-754a-489e-a796-765bb4fdd07e.json,docent-transcript-export,1,1,29,29,0,60,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b59097dd-a2f8-4b5c-b69f-de254bb33d1c.json,docent-transcript-export,1,1,33,36,0,71,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b634d505-fe69-42d8-b699-e9f6edbdf98f.json,docent-transcript-export,1,1,14,15,0,31,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b665fb8c-03d1-48b4-b011-de16180c0872.json,docent-transcript-export,1,1,27,27,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b67ff26e-af4e-40f0-ad46-5f5365d96663.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b733a953-70d9-4ff0-93fb-42196767b7d4.json,docent-transcript-export,1,1,23,27,0,52,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b8f29618-cde9-4d07-aa1c-ca8ccf2e45d7.json,docent-transcript-export,1,1,37,38,0,77,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\b9e0276e-b9de-4c75-86df-ac9bd08c3345.json,docent-transcript-export,1,1,22,22,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ba0fdcb0-4f66-48e7-98ed-15c65ba940cc.json,docent-transcript-export,1,1,23,24,0,49,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bafc1235-e663-4a50-b00a-0d89cfce24ca.json,docent-transcript-export,1,1,18,24,0,44,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bb53573e-f570-437d-a42e-1a6b18a90c13.json,docent-transcript-export,1,1,56,56,0,114,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bbc64689-69fc-4b48-8220-4a7ea4e7b787.json,docent-transcript-export,1,1,14,15,0,31,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bbf359a4-5b85-4158-92bf-e01aec8108e1.json,docent-transcript-export,1,1,18,18,0,38,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bcfa7b83-a744-41c6-883d-bb665b51c24f.json,docent-transcript-export,1,1,37,47,0,86,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bd0071f2-f665-4c1f-be55-9ed6dfe859f0.json,docent-transcript-export,1,1,27,28,0,57,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\be8271e7-fcea-4d72-aa48-a0bd1ff39e5f.json,docent-transcript-export,1,1,34,50,0,86,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bed3056d-a22e-457f-8efb-8106ce563238.json,docent-transcript-export,1,1,50,56,0,108,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\bf7416e0-2339-482d-a951-f46c680e6dc2.json,docent-transcript-export,1,1,32,35,0,69,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c079f8f1-ec01-46d4-8bbd-b66125b61a7d.json,docent-transcript-export,1,1,21,22,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c170ed9c-b30f-4be3-b548-a3981b9a3744.json,docent-transcript-export,1,1,34,36,0,72,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c24ec9bf-0f5d-4853-bf04-d0d1ba4df296.json,docent-transcript-export,1,1,19,19,0,40,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c2cb19e2-5b1a-4cb4-b42a-0300b723782f.json,docent-transcript-export,1,1,35,42,0,79,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c3125c1a-8cf5-449a-833d-ef824400428d.json,docent-transcript-export,1,1,53,57,0,112,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c451c35d-a234-4405-aca6-a264ded8c17f.json,docent-transcript-export,1,1,50,54,0,106,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c4e03843-b816-45d6-8a9a-8cf8f2f9452c.json,docent-transcript-export,1,1,23,24,0,49,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c4f8365d-ef77-4d70-a262-62f3f103190f.json,docent-transcript-export,1,1,37,46,0,85,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c6f55476-89b0-4ec2-bad5-8a47804bf1eb.json,docent-transcript-export,1,1,23,23,0,48,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c6fe4100-0ecc-4443-b16b-4275e24a721f.json,docent-transcript-export,1,1,64,81,0,147,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c7baefd2-b0e9-41ba-9de7-1faec45dc1e8.json,docent-transcript-export,1,1,56,68,0,126,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c7d1c771-70fb-4811-9a05-d5ab64e352b6.json,docent-transcript-export,1,1,42,47,0,91,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c87ce50c-fada-4065-a828-060cf8134eca.json,docent-transcript-export,1,1,38,41,0,81,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c8f5af5f-c9ea-40d1-8c75-8eb1e9b47bad.json,docent-transcript-export,1,1,46,47,0,95,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c90eaef0-4805-44f7-acb0-b4d54fd8d191.json,docent-transcript-export,1,1,30,32,0,64,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\c971d79a-00c1-4f1b-b3e0-c88555e24963.json,docent-transcript-export,1,1,17,17,0,36,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ca1b8dc2-1462-4cb4-a35e-a16087ce8481.json,docent-transcript-export,1,1,28,33,0,63,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ca6c032f-53a3-415c-a7db-3379c531801a.json,docent-transcript-export,1,1,39,43,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\cb1995b2-f180-4fb8-9914-1e3d86a72582.json,docent-transcript-export,1,1,29,30,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\cb4dbbcf-90fd-43b5-abbb-f4fc6e33a28e.json,docent-transcript-export,1,1,41,47,0,90,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\cc28f98d-be25-4197-b9e5-2942994dbc36.json,docent-transcript-export,1,1,56,79,0,137,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\cd16b5dc-666e-4e0b-8396-80874a9a2912.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\cdfb71b7-7389-433f-a4f4-53d56bff4cd2.json,docent-transcript-export,1,1,41,50,0,93,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ce07de5f-825d-44b0-a4a3-db758eb15fe2.json,docent-transcript-export,1,1,25,27,0,54,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ce2496ba-a428-4b4c-84a4-a39fd9fd885f.json,docent-transcript-export,1,1,44,48,0,94,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\cefd3c44-be98-40e3-8a32-bb9eb8f77317.json,docent-transcript-export,1,1,39,39,0,80,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d0658013-bb4b-4fca-a481-04de133729a2.json,docent-transcript-export,1,1,22,23,0,47,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d0f10ddd-0f78-41ee-8277-d239060164e0.json,docent-transcript-export,1,1,41,50,0,93,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d1e9e1b7-f4d6-4e6f-9738-6c63185c0348.json,docent-transcript-export,1,1,70,89,0,161,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d2c3d44b-ac02-4e61-bc7c-2bf347c24b3f.json,docent-transcript-export,1,1,28,32,0,62,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d2e3d2eb-4e69-4ff8-bc0b-f91d0b289a2a.json,docent-transcript-export,1,1,29,32,0,63,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d5302191-7fe2-4e86-9d27-c78a2f0499e6.json,docent-transcript-export,1,1,13,15,0,30,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d58f40a4-03ed-4099-84bb-5b060b988032.json,docent-transcript-export,1,1,32,38,0,72,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d6574274-5d10-4434-9677-24363950238c.json,docent-transcript-export,1,1,32,40,0,74,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d675953a-687a-4855-a488-4f1e71e450bd.json,docent-transcript-export,1,1,21,21,0,44,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d69d1638-7509-41dd-a8a1-857eefdaef0d.json,docent-transcript-export,1,1,27,29,0,58,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d6f43477-5a27-485f-bcff-cfa06a2fe768.json,docent-transcript-export,1,1,23,24,0,49,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d81b9882-113b-4a4e-8099-898945239839.json,docent-transcript-export,1,1,29,30,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\d8dd222d-8985-4c2d-ae6b-268462d5205d.json,docent-transcript-export,1,1,40,45,0,87,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\da85ca77-ce04-425b-b572-8afe81dacde0.json,docent-transcript-export,1,1,48,51,0,101,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\da9d7e93-6fc4-4717-9822-bfdf9e9c9eca.json,docent-transcript-export,1,1,19,22,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\daa5086a-be02-455a-8c7a-840b859116b2.json,docent-transcript-export,1,1,38,44,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dbcde30e-bd25-4e3a-b791-26e47034893d.json,docent-transcript-export,1,1,32,38,0,72,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dbce6144-a26d-4ce1-8822-35dd93c9903b.json,docent-transcript-export,1,1,20,24,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dcdda329-7b5e-42e7-94b1-e2a2ed79d401.json,docent-transcript-export,1,1,25,30,0,57,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dde4dde9-7e4d-498b-9206-03f97589ee7a.json,docent-transcript-export,1,1,27,27,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\de5283ff-eb89-42d2-8d86-9c9901ffc740.json,docent-transcript-export,1,1,28,28,0,58,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\df3bd0c5-2568-4406-90bf-a3bab36384a5.json,docent-transcript-export,1,1,47,53,0,102,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dfd18f2f-8b45-49cd-a4cc-fa88a4a30738.json,docent-transcript-export,1,1,63,66,0,131,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dfd9a857-df4e-4849-b1d4-331bac5b5611.json,docent-transcript-export,1,1,12,12,0,26,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dfe1082e-5d80-4255-b08e-abfdcdde3991.json,docent-transcript-export,1,1,57,66,0,125,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\dfe6cd37-ced6-40b6-a555-f196ce0c6512.json,docent-transcript-export,1,1,27,31,0,60,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e0330190-c281-44af-ba87-cfabeca8abe8.json,docent-transcript-export,1,1,21,23,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e046fdf8-abf9-47f8-9736-8bdca0f11c31.json,docent-transcript-export,1,1,25,27,0,54,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e09a7883-71c2-4306-ae11-5e7fd534f39d.json,docent-transcript-export,1,1,17,21,0,40,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e2250a22-6cf1-49c9-b53f-e137e430e132.json,docent-transcript-export,1,1,30,36,0,68,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e2ac57f9-aeb2-4f99-bc9c-9dcda811fb90.json,docent-transcript-export,1,1,13,14,0,29,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e3757e2d-52f3-4072-9a2f-c53cc3350fe0.json,docent-transcript-export,1,1,51,57,0,110,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e3f72f5d-b6c6-4ad5-b36e-be5fe9bcc026.json,docent-transcript-export,1,1,53,67,0,122,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e509323d-50e1-4a6c-845d-a532c49035a2.json,docent-transcript-export,1,1,44,51,0,97,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e5a82472-883f-43f1-9c78-f50573f5c8a3.json,docent-transcript-export,1,1,21,23,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e5e9d5ba-cefe-45ae-b687-3a19634ab0be.json,docent-transcript-export,1,1,19,25,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e70323ec-d5a7-4705-8e37-e47f8d13a475.json,docent-transcript-export,1,1,31,36,0,69,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e8c35a37-8279-406c-9edb-d9d206d1d42e.json,docent-transcript-export,1,1,35,37,0,74,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e8d955b5-a42d-47ed-967c-e64c38c0b3cb.json,docent-transcript-export,1,1,37,40,0,79,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\e9ee30cc-34f6-4cf9-ac5e-edb6a9e32cb7.json,docent-transcript-export,1,1,21,25,0,48,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ea51cea8-b671-49ca-8b30-fb532100f29b.json,docent-transcript-export,1,1,24,24,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\eaa09536-e6f1-4e59-96c7-7788d443488b.json,docent-transcript-export,1,1,28,31,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\eac18b98-f109-4e76-bc36-5116b56af5a9.json,docent-transcript-export,1,1,25,28,0,55,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ead316a3-6a33-4613-94ff-3976fdce392e.json,docent-transcript-export,1,1,17,26,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\eb4e3c7a-25f9-4886-9ba0-8ec8362e5a6d.json,docent-transcript-export,1,1,58,75,0,135,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ebb7d180-0634-4dd9-881a-a0eedf6aa3d1.json,docent-transcript-export,1,1,20,21,0,43,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ebf6c446-95f0-44ff-9f52-f2cb1183a77c.json,docent-transcript-export,1,1,29,31,0,62,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ec032d78-55fb-4ca9-855e-89dfdea7483e.json,docent-transcript-export,1,1,26,30,0,58,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ec8e3383-f5e6-41af-a8e0-2ce8a34cff9a.json,docent-transcript-export,1,1,17,17,0,36,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ecc9c8c1-8066-497d-bae1-969af426aa20.json,docent-transcript-export,1,1,19,19,0,40,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ececb85b-d1a9-4926-924f-886335aa6a7c.json,docent-transcript-export,1,1,24,24,0,50,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ed59a23b-6333-476b-9d54-fefc9821841a.json,docent-transcript-export,1,1,24,26,0,52,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\eda31c82-f069-48a1-8055-7d9a9cf3c686.json,docent-transcript-export,1,1,16,19,0,37,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\edd2aaf9-ff69-402e-8577-b062f934c235.json,docent-transcript-export,1,1,29,33,0,64,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ede0064f-fca5-4e22-bae0-2e26410283e8.json,docent-transcript-export,1,1,27,29,0,58,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ef06b651-6c28-4c7b-a1b7-7e38ecaadb3d.json,docent-transcript-export,1,1,19,20,0,41,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ef09ce13-efd2-48f9-abf5-a661d15cec90.json,docent-transcript-export,1,1,36,46,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\eff85fa8-fed7-4243-a4c5-13a96b681e2a.json,docent-transcript-export,1,1,32,33,0,67,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f00eddf1-a88a-4ae5-a9c1-a422061aca35.json,docent-transcript-export,1,1,33,38,0,73,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f108f079-a370-4158-a5d6-35c3a38e2576.json,docent-transcript-export,1,1,66,66,0,134,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f133d7bc-f61e-4a9b-ad67-9b6d1586e10b.json,docent-transcript-export,1,1,30,34,0,66,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f1be16a6-db59-4546-b200-df727e6f67e3.json,docent-transcript-export,1,1,47,53,0,102,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f1f56541-4382-4002-8f11-b6625dba28af.json,docent-transcript-export,1,1,49,54,0,105,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f203977f-ce4c-45b1-abac-cdd078f9f25d.json,docent-transcript-export,1,1,38,46,0,86,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f326fabe-3a2f-48a4-a9c0-684b31f51d42.json,docent-transcript-export,1,1,37,40,0,79,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f39d154b-fb7f-4227-8819-3f42fd34eade.json,docent-transcript-export,1,1,33,34,0,69,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f3bcdfc2-8981-4684-8cac-086dba59808f.json,docent-transcript-export,1,1,58,76,0,136,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f4ecb524-ac9e-4666-b2c6-18dfaaf06240.json,docent-transcript-export,1,1,41,41,0,84,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f51cf038-8a62-4c54-b2bd-b0a328d4b90f.json,docent-transcript-export,1,1,14,15,0,31,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f67dc224-a113-47bc-9b34-8300eadb296a.json,docent-transcript-export,1,1,100,103,0,205,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f70413d0-2042-41fd-9b65-d1bf332d3f61.json,docent-transcript-export,1,1,45,56,0,103,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f72a07bc-f83c-4b27-b9d1-36fe4628db2e.json,docent-transcript-export,1,1,22,29,0,53,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f77f5dfd-3e2f-4a22-a505-478ca17b53de.json,docent-transcript-export,1,1,31,33,0,66,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f7b54c39-e4b0-447d-9795-e2ad49a4828e.json,docent-transcript-export,1,1,27,27,0,56,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f8b194e0-8177-4846-8665-ba762aa4eaab.json,docent-transcript-export,1,1,13,16,0,31,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f91d73f5-61b2-45aa-a7be-93e43f339cd9.json,docent-transcript-export,1,1,36,41,0,79,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\f9b5d315-93a1-46ed-a641-55dcb175317c.json,docent-transcript-export,1,1,19,19,0,40,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fa0a6874-3258-437c-a64e-012718a02357.json,docent-transcript-export,1,1,58,67,0,127,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fa9a19fe-8619-4a5a-9d11-8e5911244f00.json,docent-transcript-export,1,1,26,27,0,55,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\faccf2fc-3789-4f1e-bc3c-94ef03499c83.json,docent-transcript-export,1,1,37,38,0,77,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fbe34b0a-d705-4b69-ac49-207fc54ab2c7.json,docent-transcript-export,1,1,32,41,0,75,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fbecfdb2-de7b-4ca3-876a-aaa344be50b0.json,docent-transcript-export,1,1,21,23,0,46,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fc07cce0-c6b5-42ce-bdea-ad387c7f625a.json,docent-transcript-export,1,1,47,80,0,129,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fc1a0d8b-e7f8-485a-9719-c1497533911b.json,docent-transcript-export,1,1,24,25,0,51,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fc44d0e1-b676-4c35-9786-dd3d6daa38b2.json,docent-transcript-export,1,1,32,40,0,74,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fc4ad664-94b4-4b07-ac64-c8ad78956ad9.json,docent-transcript-export,1,1,33,36,0,71,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fc691133-be37-4588-b57e-ed638ea6b334.json,docent-transcript-export,1,1,36,39,0,77,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fc7fa776-ad9d-44c5-b0c3-8385fd1edad4.json,docent-transcript-export,1,1,26,33,0,61,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fcf421a5-9b3d-4c07-b628-ab7dd3627d49.json,docent-transcript-export,1,1,22,24,0,48,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\fddd93c3-8e17-4698-a548-d86241b0df24.json,docent-transcript-export,1,1,21,22,0,45,,,,0
data\claude_4_5_opus_high_reasoning\trajectories\ffa47707-c0f8-41d0-b321-9008ebd628ea.json,docent-transcript-export,1,1,35,42,0,79,,,,0
data\claude_opus_4_6\trajectories\01b61529-5f4c-4e92-8340-27a6daca2562.json,docent-transcript-export,1,1,43,42,0,87,,,,0
data\claude_opus_4_6\trajectories\01cb3280-c073-4626-8cc2-6a37a7aa8d0a.json,docent-transcript-export,1,1,10,11,0,23,,,,0
data\claude_opus_4_6\trajectories\02fd0e7f-3f67-4d1d-b74f-01926800c8ed.json,docent-transcript-export,1,1,70,73,0,145,,,,0
data\claude_opus_4_6\trajectories\03795889-e054-4c7b-be4a-de4b871dba83.json,docent-transcript-export,1,1,29,30,0,61,,,,0
data\claude_opus_4_6\trajectories\046e73c9-c290-47a6-afa7-8124d471e6d1.json,docent-transcript-export,1,1,25,25,0,52,,,,0
data\claude_opus_4_6\trajectories\04b3dfe3-dc24-4bf6-8f66-30d06294f652.json,docent-transcript-export,1,1,11,10,0,23,,,,0
data\claude_opus_4_6\trajectories\05ea80c2-0be1-48a7-8190-59277b87c526.json,docent-transcript-export,1,1,35,34,0,71,,,,0
data\claude_opus_4_6\trajectories\0607ef60-263a-425a-82f5-701b048c6c30.json,docent-transcript-export,1,1,36,38,0,76,,,,0
data\claude_opus_4_6\trajectories\0661d0fb-f418-4b6c-9960-e5eb4c8207d8.json,docent-transcript-export,1,1,23,25,0,50,,,,0
data\claude_opus_4_6\trajectories\066e69c2-a010-4c7d-b7b4-5f383daebd24.json,docent-transcript-export,1,1,17,17,0,36,,,,0
